nodes,pernode,nedges,nverts,format,ingress,algorithm,iterations,engine
16,1,58333344,23947347,snap,hybrid_ginger,pagerank,20,plsync
32,1,58333344,23947347,snap,random,pagerank,20,plsync
32,1,58333344,23947347,snap,grid,pagerank,20,plsync
32,1,58333344,23947347,snap,dbh,pagerank,20,plsync
32,1,58333344,23947347,snap,hybrid,pagerank,20,plsync
32,1,58333344,23947347,snap,hybrid_ginger,pagerank,20,plsync
32,1,58333344,23947347,adj_ec,random_ec,pagerank,20,plsyncec
32,1,58333344,23947347,adj_ec,ldg,pagerank,20,plsyncec
32,1,58333344,23947347,adj_ec,fennel,pagerank,20,plsyncec
64,2,58333344,23947347,snap,hybrid_ginger,pagerank,20,plsync
128,4,58333344,23947347,snap,hybrid_ginger,pagerank,20,plsync

